ZONE_ID,WAREHOUSE_LOCATION_ID,WHL_PICKUP_ORDERS,ZONE_PICKUP_ORDERS
1001,590,1,39
1001,589,1,39
1002,25982,1,39
1002,21129,24,39
1002,3028,4,39
1002,2488,4,39
1002,2447,6,39
1006,25230,13,13
1009,34307,24,68
1009,25265,21,68
1009,25261,23,68
1016,24671,80,80
1022,24532,188,188
1030,24879,74,340
1030,21776,266,340
1033,25891,35,35
1034,24529,143,143
1036,31018,118,168
1036,31016,50,168
1059,34318,120,120
1060,3598,2,2
1081,29252,68,68
1082,24390,43,43
1086,26379,106,106
1088,26522,2,2
1108,26537,3,3
1142,32892,3,3
1154,37199,106,304
1154,37187,93,304
1154,26206,105,304
1159,27082,54,106
1159,26207,52,106
1162,37206,129,348
1162,34312,114,348
1162,26208,105,348
1163,26214,193,193
1164,34315,178,339
1164,26215,161,339
1165,26216,192,192
1166,26217,83,83
1167,40111,113,380
1167,26218,162,380
1167,25315,105,380
1169,26222,123,123
1172,28439,4,9
1172,26854,5,9
1174,26844,19,19
1195,34299,429,655
1195,27052,226,655
1197,27084,64,64
1198,27088,233,233
1199,27086,103,103
1205,27094,113,113
1206,29973,147,463
1206,27093,179,463
1206,27092,137,463
1220,24662,75,75
1222,31375,1,1
1226,27058,217,217
1228,32314,106,106
1250,33241,76,76
1272,24521,120,120
1280,28253,6,6
1281,28255,30,30
1289,37734,72,72
1295,28370,2,6
1295,28369,4,6
1299,28389,10,11
1299,28388,1,11
1301,32154,7,46
1301,28295,4,46
1301,28294,7,46
1301,28292,2,46
1301,28289,2,46
1301,28288,17,46
1301,28287,7,46
1302,28280,4,22
1302,28279,1,22
1302,28278,4,22
1302,28277,9,22
1302,28276,4,22
1305,28302,4,4
1307,32112,19,24
1307,28306,5,24
1308,28391,1,1
1348,34950,10,10
1354,30225,2,2
1400,29344,210,210
1411,29902,2,4
1411,29899,2,4
1413,29893,1,1
1415,29858,2,3
1415,29846,1,3
1417,29886,4,6
1417,29884,2,6
1418,29826,1,9
1418,29814,6,9
1418,29808,2,9
1419,29812,1,1
1441,34298,207,418
1441,9581,211,418
1468,37201,181,323
1468,27060,142,323
1469,34314,122,574
1469,34296,89,574
1469,34295,87,574
1469,27035,276,574
1470,32697,49,145
1470,27075,96,145
1472,30825,8,8
1482,37190,113,257
1482,34297,144,257
1483,34294,72,72
1484,37192,123,123
1485,34289,187,982
1485,34288,197,982
1485,34287,234,982
1485,26225,364,982
1488,34284,77,115
1488,32696,38,115
1489,34303,222,417
1489,27066,195,417
1490,37193,48,308
1490,36394,74,308
1490,26223,65,308
1490,26219,121,308
1496,27077,104,104
1497,30771,152,491
1497,30768,93,491
1497,27080,96,491
1497,27078,150,491
1498,30780,86,167
1498,30779,81,167
1500,30817,132,511
1500,30815,211,511
1500,30813,168,511
1506,30819,163,163
1510,30806,125,261
1510,26864,136,261
1511,34302,89,89
1512,30971,8,14
1512,30970,6,14
1513,30972,1,1
1514,32699,105,105
1515,37205,159,159
1522,31082,53,164
1522,31070,57,164
1522,31068,54,164
1535,31262,8,8
1569,31308,3,3
1585,31373,1,2
1585,31372,1,2
1587,31390,11,11
1610,37185,109,109
1613,31465,154,233
1613,31464,79,233
1614,31467,88,202
1614,24812,114,202
1615,31471,80,293
1615,31470,213,293
1640,31516,16,16
1646,24540,99,99
1650,32171,3,14
1650,32170,10,14
1650,32169,1,14
1651,32167,4,4
1653,32129,6,6
1689,32328,107,192
1689,32323,85,192
1691,32302,4,4
1706,32343,4,4
1715,37195,82,200
1715,36207,118,200
1765,32957,73,73
1787,27071,220,220
1831,33576,1,1
1836,37198,118,118
1839,33626,4,4
1870,33659,74,74
1913,37197,47,103
1913,34317,56,103
1939,35647,28,28
1940,34893,1,1
1966,35530,7,7
1979,34286,219,219
2005,36315,61,61
2006,36316,100,100
2007,36319,88,88
2008,36320,60,60
2009,36321,189,189
2010,37188,74,74
2030,36628,8,8
2031,36810,420,420
2032,37186,286,286
2033,37189,54,54
